Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter 
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country
HYDROGEN SOCIETY SWEDEN AB,UPPSALA,SE,,LF,n.v.,,"C/O ANDERS LINDVALL, RÖDBERGSVÄGEN 10",752 41,Uppsala,Schweden,59.842095,17.607982,Sweden
HYDROGEN STORAGE AS,OSLO,NO,7112,U1,n.v.,MR KJELL LOEVOLD,SKÅDALSVEIEN 19D,0781,Oslo,Norwegen,59.959956,10.694507,Norway
HYDROGEN VIKING AS,BERGEN,NO,7112,U1,0,GREEN YACHT AS,VESTRE SKOSTREDET 2,5017,Bergen,Norwegen,60.3936501,5.3276171,Norway
HYDROGENERIC GLOBAL AB,ÅKERSBERGA,SE,,U1,0,CUBEN INVESTMENT GROUP AB,"C/O OLLE HELLGREN, KANALVÄGEN 24",184 41,Stockholm,Schweden,59.4335846,18.056684,Sweden
HYDROGENNOLL CO2 NORDIC AB,STOCKHOLM,SE,3511,U1,n.v.,,"C/O ERIK JONSSON, RÅDMANSGATAN 50",113 57,Stockholm,Schweden,59.340931,18.0603397,Sweden
HYDROGENVEGEN AS,ODDA,NO,7112,U1,0,,OPHEIMSGATA 31,5750,Ullensvang,Norwegen,60.0668708,6.5457328,Norway
HYDROHORIZON AB,MALMÖ,SE,7112,U1,n.v.,LSCS INVEST AB,"C/O SIRPA PERSSON, ERIKSLUSTVÄGEN 55",217 73,Skåne,Schweden,,,Sweden
HYDROMAR AS,NAMSOS,NO,7112,U1,0,JARASGRUPPEN AS,C/O JARAS DRIFT AS VERFTSGATA 34,7800,Namsos ,Norwegen,,,Norway
HYREX AS,TOLVSRØD,NO,7112,U1,6,,CARL 15 GATE 19,3150,Tønsberg,Norwegen,59.2603514,10.4920482,Norway
INKAT AS,NYBORG,NO,7112,LF,0,MR AKSEL SKJERVHEIM,LIAFLATEN 2C,5132,Bergen,Norwegen,60.470943,5.344344,Norway
IVERSON EFUELS AS,SANDNES,NO,2015,U1,0,HY2GEN AG,GRENSEVEIEN 21,4313,Sandnes ,Norwegen,58.8888588,5.7183052,Norway
KORGA AS,SANDSLI,NO,7219,U1,n.v.,FUELLA AS,AURDALSLIA 163,5253,Bergen,Norwegen,60.308605,5.285301,Norway
KRISTIANSUND ENERGIHUB AS,KRISTIANSUND N,NO,7490,LF,0,,INDUSTRIVEIEN 1,6517,Kristiansund,Norwegen,63.110753,7.794041,Norway
KVINA ENERGY AS,PORSGRUNN,NO,2011,U1,0,,HYDROVEGEN 6,3933,Porsgrunn,Norwegen,59.1294814,9.631111,Norway
LIQUILINE AS,STORD,NO,7112,U1,0,ÅRMANN GREEN INVEST AS,LØNNINGSÅSEN 2,5417,Stord,Norwegen,59.7810676,5.4972722,Norway
MANTLEPOWER GEOTHERMAL AB,OXIE,SE,6820,U1,n.v.,,"C/O RANA MAAROUF, LÅNGHÖGSVÄGEN 13",238 31,Skåne,Schweden,55.54474235,13.1000749,Sweden
METACON TECHNOLOGY AB,UPPSALA,SE,,LF,0,METACON AB (PUBL),DROTTNINGGATAN 1 B,753 10,Uppsala,Schweden,59.858305,17.6379939,Sweden
MID SWEDEN HYDROGEN AB,SUNDSVALL,SE,,U1,n.v.,,"C/O EKONOMIVERKSTAN AB, VÄSTRA RADIOGATAN 41",854 61,Västernorrland,Schweden,62.3768889,17.333789450414944,Sweden
NEBBENES ENERGI AS,EIDSVOLL VERK,NO,4730,U1,0,MR PER NEBBENES,ORMLIBAKKEN 32,2074,Eidsvoll,Norwegen,60.312049,11.145872,Norway
NEL FUEL AS,OSLO,NO,3522,U1,0,DEUTSCHE BOERSE AG,KARENSLYST ALLÉ 20,0278,Oslo,Norwegen,59.920193,10.683579,Norway
NORD POWER AS,OSLO,NO,3511,U1,0,KROHL ALEXANDER,C/O ALEXANDER KROHL THOMAS HEFTYES GATE 58B,0267,Oslo,Norwegen,,,Norway
NORDIC HYDROGEN SOLUTIONS AB,FURULUND,SE,4643,U1,n.v.,,LJUNGGATAN 5,244 65,Skåne,Schweden,55.7793051,13.08113522362302,Sweden
NORSK HYDROGEN AS,ÅLESUND,NO,3521,U1,0,NORWEGIAN HYDROGEN AS,KORSEGATA 4B,6002,Ålesund,Norwegen,62.4717804,6.1558055,Norway
QIN CAPITAL AB,ÖREBRO,SE,,U1,n.v.,,"C/O LING FAN, MARK 613",702 86,Örebro,Schweden,59.1989804,15.227322050271985,Sweden
REPSOL PERPETUAL NORGE AS,STAVANGER,NO,0610,U1,0,"ALTERI INVESTMENTS II, SCSP",VERVEN 4,4014,Stavanger,Norwegen,58.9715422,5.7455812,Norway
ROBERTSFORS HYDROGEN AB,STOCKHOLM,SE,2011,U1,n.v.,,GREVGATAN 65  LGH 1501,114 59,Stockholm,Schweden,59.3387101,18.0879156,Sweden
RØRVIK HYDROGEN HUB AS,STEINKJER,NO,7112,LF,n.v.,MR KRISTIAN BREKKE DJUVE,SJØFARTSGATA 3,7714,Steinkjer,Norwegen,64.0108956,11.4882949,Norway
SAGHYTTARIUS AS,GJETTUM,NO,,U1,0,EDUARD RICHARD VAN OORT,C/O EDUARD RICHARD VAN OORT SOGNEPREST MUNTHE-KAAS VEI 23,1346,Bærum,Norwegen,,,Norway
СТИРОЛБІОФАРМ ТОВ,КИЇВ,UA,2120,U1,1,БІОФАРМІНВЕСТ ТОВ,"ВУЛ. ВАСИЛЯ КАСІЯНА 1, ГОЛОСІЇВСЬКИЙ Р-Н",03191,КИЕВ,Ukraine,50.3795572,30.4625091,Ukraine
STORD HYDROGEN AS,STORD,NO,2011,U1,0,,LØNNINGSÅSEN 2,5417,Stord,Norwegen,59.7810676,5.4972722,Norway
SYDKRAFT HYDROGEN AB,MALMÖ,SE,2011,LF,n.v.,BUNDESREPUBLIK DEUTSCHLAND,BOX 94,201 20,Skåne,Schweden,,,Sweden
TECO2030 POWER SYSTEMS AS,NARVIK,NO,7490,U1,0,TECO 2030 ASA,TEKNOLOGIVEIEN 6,8517,Narvik,Norwegen,68.4467448,17.4493768,Norway
ТЕГАС,СТ-ЦА ДИНСКАЯ,RU,2910,U1,n.v.,MR IGOR VALERYEVICH VOROSHILOV,УЛ. МИЧУРИНА Д. 41Б,353201,Краснодарский край,Russische Föderation,52.476067,25.729514,Russia
THD TURQUOISE HYDROGEN DEVELOPMENT AB,LUND,SE,6499,U1,n.v.,,"C/O ANDERS EDSTRÖM, FLYGELVÄGEN 93",224 72,Skåne,Schweden,55.7129654,13.2425056,Sweden
VALVES2 AS,BERGEN,NO,6430,U1,0,MR JOHN MORTEN RABBEN,NORDRE NATTLANDSFJELLET 14,5098,Bergen,Norwegen,60.3467921,5.3693253,Norway
VAREGGA ENERGY AS,HAUKELAND,NO,2059,U1,n.v.,,LANGEDALEN 522,5268,Bergen,Norwegen,60.4127221,5.4487121,Norway
VERDIPAPIRFONDET STOREBRAND RENEWABLE ENERGY,LYSAKER,NO,6430,U1,0,,PROFESSOR KOHTS VEI 9,1366,Bærum,Norwegen,59.9115807,10.6305721,Norway
VIKEN HYDROGEN AS,LILLESTRØM,NO,2011,U1,0,VIKEN HYDROGEN AS,C/O AKERSHUS ENERGI AS BROGATA 7,2000,Lillestrøm,Norwegen,,,Norway
WESTGASS INTERNASJONAL AS,STAVANGER,NO,7112,LF,n.v.,KAM GROUP AS,KIRKEGATA 13,4006,Stavanger,Norwegen,58.9709965,5.7324926,Norway
YARA CLEAN AMMONIA AS,OSLO,NO,4675,U1,0,YARA INTERNATIONAL ASA,DRAMMENSVEIEN 131,0277,Oslo,Norwegen,59.922149,10.687623,Norway
YARA CLEAN AMMONIA HEGRA AS,OSLO,NO,2011,U1,0,MR KRISTIAN BREKKE DJUVE,DRAMMENSVEIEN 131,0277,Oslo,Norwegen,59.922149,10.687623,Norway
ZERO EMISSION CARRIERS AS,OSLO,NO,3011,U1,0,UDO SIEGMUND,BISKOP GUNNERUS' GATE 14A,0185,Oslo,Norwegen,59.91164,10.754635,Norway
CHRYSAOR NORTH SEA LIMITED,LONDON,GB,0610,U1,n.v.,HARBOUR ENERGY PLC,23 LOWER BELGRAVE STREET,SW1W 0NR,London SW1W,Vereinigtes Königreich,51.4956292,-0.1460347,United Kingdom
"""INTERCHIM AUSTRIA"" INTERNATIONALER CHEMIEHANDEL GMBH",WÖRGL,AT,4690,U1,13,,BRIXENTALERSTRAßE 67,6300,Tirol,Österreich,47.48784935,12.07863874886448,Austria
AIR LIQUIDE NEDERLAND B.V.,ROTTERDAM,NL,2011,U1,n.v.,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",WEENA 312 4E ETAGE TOR,3012 NJ,Rotterdam,Niederlande,51.9232371,4.473656,Netherlands
AIR PRODUCTS GROUP LIMITED,WALTON-ON-THAMES,GB,7010,U1,n.v.,AIR PRODUCTS & CHEMICALS INC,"HERSHAM PLACE TECHNOLOGY PARK, MOLESEY ROAD",KT12 4RZ,Walton-On-Thames,Vereinigtes Königreich,51.3676135,-0.3957073066885973,United Kingdom
AKER CARBON CAPTURE SWEDEN AB,STOCKHOLM,SE,7112,LF,2,,"C/O BDO MÄLARDALEN, BOX 6343",102 35,Stockholm,Schweden,,,Sweden
ÅKRESÉK TEKNIK AB,GÖTEBORG,SE,7112,LF,2,,"C/O SEBASTIAN SECO PON, ANNA LESSELSGATAN 6 B LGH 1101",417 16,Västra Götaland,Schweden,57.7207288,11.9235319,Sweden
ANLAGENTECHNIK THIEL GMBH & CO. KG,NEUMÜNSTER,DE,4120,U1,8,MR STEFAN THIEL,KORNSTIEG 7,24537,Neumünster,Deutschland,54.0155935,10.015074244767444,Germany
ARKEMA INTERNATIONAL SA,GENÈVE,CH,7830,LF,1,ARKEMA,"C/O VISCHER GENEVE SARL, RUE DU CLOÎTRE 4",1204,Geneva,Schweiz,46.2015056,6.1484337,Switzerland
ASCO KOHLENSÄURE AG,ROMANSHORN,CH,2011,LF,160,MESSER GROUP GMBH,INDUSTRIESTRASSE 2,8590,Thurgau,Schweiz,47.557448,9.36955,Switzerland
ATOME PLC,LEEDS,GB,6420,C1,8,ATOME PLC,CARRWOOD PARK SELBY ROAD,LS15 4LG,Leeds,Vereinigtes Königreich,53.7869368,-1.403672873909986,United Kingdom
A-Z SYSTEM AB,LYCKSELE,SE,4652,LF,2,,MOTIONSVÄGEN 7,921 37,Västerbotten,Schweden,64.5879353,18.6936643,Sweden
BADISCHE RHEINGAS GMBH,LÖRRACH,DE,3500,U1,11,,WIESENWEG 4,79539,Lörrach,Deutschland,47.6122886,7.6545885,Germany
BARRY HOWARD LLP,NORTHAMPTON,GB,,U1,n.v.,,"UNIT 9, BASSET COURT, LOAKE CLOSE",NN4 5EZ,Northampton,Vereinigtes Königreich,52.2705988,-0.899400158044051,United Kingdom
BASF FUEL CELL GMBH,LUDWIGSHAFEN,DE,2720,U1,n.v.,BASF SE,CARL-BOSCH-STR. 38,67063,Ludwigshafen am Rhein,Deutschland,49.4157646,8.3919561,Germany
BERGCHEMIE J. C. BRÖCKING & CO. GMBH,WUPPERTAL,DE,4675,U1,17,,RUDOLFSTR. 14,42285,Wuppertal,Deutschland,51.2677766,7.162915433691597,Germany
BFL HYDROGEN OHG,FÖRITZTAL,DE,6420,LF,3,,MARK 1 G,96524,Sonneberg,Deutschland,50.3235452,11.236788593510926,Germany
BIH (LEVENSEAT) LIMITED,LONDON,GB,4222,U1,n.v.,BIOENERGY INFRASTRUCTURE LIMITED,"C/O EVERO ENERGY GROUP LIMITED, AUSTIN FRIARS",EC2N 2QQ,London EC2N,Vereinigtes Königreich,51.5157413,-0.0857481,United Kingdom
BIOGAS DUCHEROW GMBH,DUCHEROW,DE,2011,U1,3,E.ON SE,KARL-MARX-STR. 23,17398,Dahme-Spreewald,Deutschland,53.7527349,13.777926920638976,Germany
BIOGASANLAGE HAßLEBEN GMBH,BOITZENBURGER LAND,DE,3521,U1,2,MR CHRISTIANUS MARIA VAN GENNIP HENRICUS,STRAßE DER DSF,17268,Uckermark,Deutschland,53.2186761,13.6852948,Germany
BIOMONTAN PRODUKTIONS UND HANDELS GMBH,ENNS,AT,4775,U1,32,,REGENSBURGER STRAßE 5,4470,Oberösterreich,Österreich,48.2320142,14.492555987323207,Austria
BIONA GROUP AB,HÄLLINGSJÖ,SE,2014,LF,2,,"C/O INGVAR GUNNAR JOACIM SAGER, UBBHULT MÖLNEBACKA 3",438 95,Västernorrland,Schweden,,,Sweden
BOC HELEX,WOKING,GB,7010,U1,1,LINDE PUBLIC LIMITED COMPANY,"FORGE, 43 CHURCH STREET WEST",GU21 6HT,Woking,Vereinigtes Königreich,51.31803175,-0.5621470081842368,United Kingdom
BOC KOREA HOLDINGS LIMITED,WOKING,GB,7010,U1,n.v.,LINDE PUBLIC LIMITED COMPANY,"FORGE, 43 CHURCH STREET WEST",GU21 6HT,Woking,Vereinigtes Königreich,51.31803175,-0.5621470081842368,United Kingdom
BP ABERDEEN HYDROGEN ENERGY LIMITED,ABERDEEN,GB,3299,U1,n.v.,,"C/O JOHNSTON CARMICHAEL, BISHOP'S COURT",AB10 1YL,Aberdeen,Vereinigtes Königreich,57.14382495,-2.12802321014168,United Kingdom
BP CANADA INTERNATIONAL HOLDINGS B.V.,EUROPOORT ROTTERDAM,NL,6420,U1,n.v.,BP P.L.C.,D'ARCYWEG 76,3198 NA,Rotterdam,Niederlande,51.9395733,4.1036219,Netherlands
BP TECHNOLOGY VENTURES LIMITED,SUNBURY-ON-THAMES,GB,7010,U1,n.v.,BP P.L.C.,CHERTSEY ROAD,TW16 7BP,Sunbury-On-Thames,Vereinigtes Königreich,,,United Kingdom
BRIGHT GREEN HYDROGEN LTD,EDINBURGH,GB,7219,U1,n.v.,,"MOULSDALE HOUSE, 24D MILTON ROAD EAST",EH15 2PP,Edinburgh,Vereinigtes Königreich,55.9436992,-3.0984078,United Kingdom
BRITANNIA LIFT SERVICES (U.K.) LIMITED,BRENTFORD,GB,,U1,n.v.,CARRIER GLOBAL CORP,"10TH FLOOR VANTAGE, GREAT WEST ROAD",TW8 9AG,Brentford,Vereinigtes Königreich,51.4874424,-0.3129875,United Kingdom
BRUSH HMA B.V.,CAPELLE AAN DEN IJSSEL,NL,2711,U1,55,MELROSE INDUSTRIES PLC,"SCHAARDIJK 372 5TH FLOOR, B",2909 LA,Capelle Aan Den Ijssel,Niederlande,51.9063606,4.5441931,Netherlands
BUBNEY ENERGY CENTRE LIMITED,LONDON,GB,3511,U1,2,MR KNUD ERIK ANDERSEN,6TH FLOOR 338 EUSTON ROAD,NW1 3BG,London NW1,Vereinigtes Königreich,51.5244652,-0.141496,United Kingdom
CANFORD RENEWABLE ENERGY LIMITED,WIMBORNE,GB,0149,U1,15,MR WILLIAM EDWARD RIDDLE,"ENERGY SITE CONTROL CENTRE, CANFORD RECYCLING CENTRE, ARENA WAY",BH21 3BW,Wimborne,Vereinigtes Königreich,50.7750379,-1.9388482,United Kingdom
CARBAGAS AG,GÜMLIGEN,CH,2011,LF,160,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",HOFGUT,3073,Bern,Schweiz,46.9327501,7.5111076,Switzerland
CARBON BRENNSTOFFHANDELS- UND TRANSPORTGESELLSCHAFT MBH,BOCHUM,DE,4778,U1,3,,STIEPELER STR. 68 H,44799,Bochum,Deutschland,51.450661,7.238199,Germany
CARBOTECH AC GMBH,ESSEN,DE,4612,U1,22,INTERNATIONAL CHEMICAL INVESTORS II S.à r.l.,ELISENSTR. 119,45139,Essen,Deutschland,51.46257105,7.03642779999999,Germany
CCE SOLAR INVEST GMBH,GARSTEN,AT,6420,U1,n.v.,CCE SOLAR INVEST GMBH,KLOSTERSTRAßE 2,4451,Oberösterreich,Österreich,48.0221517,14.4044633,Austria
CEMEX ADMIXTURES GMBH,SALZKOTTEN,DE,2059,U1,48,CEMEX,GESEKER STR. 31- 33,33154,Paderborn,Deutschland,51.66844195,8.595608739675512,Germany
CHERTON ENERGY LLP,BELFAST,GB,,U1,n.v.,,"UNIT 8, 232-240 BELMONT ROAD",BT4 2AW,Belfast,Vereinigtes Königreich,54.601727,-5.861652,United Kingdom
CHORUS WIND SONTRA GMBH & CO. KG,NEUBIBERG,DE,3511,U1,n.v.,ENCAVIS AG,PROFESSOR-MESSERSCHMITT-STR. 3,85579,"München, Landkreis",Deutschland,48.0755965,11.6551996,Germany
CHP CARBOHYDRATE PIRNA GMBH & CO. KG,PIRNA,DE,2120,LF,46,JOSEF RETTENMAIER HOLDING GMBH & CO.KG,LOHMENER STR. 12,01796,Sächsische Schweiz,Deutschland,50.9796666,13.945112,Germany
CHROMOPTIC,VILLEJUST,FR,4690,U1,n.v.,MR MATTHIEU PELLETIER,"ZAC DE VILLEJUST, AVENUE AVENUE DES 2 LACS",91140,Essonne,Frankreich,48.685002,2.203785,France
CLEAN POWER HYDROGEN PLC,DONCASTER,GB,6420,C1,47,CLEAN POWER HYDROGEN PLC,"UNIT D PARKSIDE BUSINESS PARK, SPINNERS ROAD",DN2 4BL,Doncaster,Vereinigtes Königreich,53.5261028,-1.1282682,United Kingdom
COFERMIN CHEMICALS GMBH & CO. KG,ESSEN,DE,4675,U1,9,,ALFREDSTR. 61,45130,Essen,Deutschland,51.4362425,7.0029856,Germany
CONSTANT ENERGY LIMITED,LIMERICK,IE,3511,U1,1,KINZIE HOLDINGS LTD,"6TH FLOOR RIVERPOINT, LOWER MALLOW STREET",V94 WC6A,Limerick,Irland,52.659852650000005,-8.629272160356113,Ireland
CORENT B.V.,ALMELO,NL,3514,U1,n.v.,GAS SERVICE TEAM BEHEER B.V.,AMBACHTSTRAAT 4,7609 RA,Almelo,Niederlande,52.3350351,6.6566787,Netherlands
CTP CHEMISCH THERMISCHE PROZESSTECHNIK GMBH,GRAZ,AT,4674,U1,60,MR YESILTEPE ARIF,SCHMIEDLSTRAßE 10,8042,Steiermark,Österreich,47.0449932,15.4809655,Austria
CUBE GREEN ENERGY LIMITED,THATCHAM,GB,6420,U1,3,ISQ GLOBAL FUND III GP LLC,"2 COMMUNICATIONS ROAD, GREENHAM BUSINESS PARK, NEWBURY",RG19 6AB,Thatcham,Vereinigtes Königreich,51.395467,-1.3238876999999991,United Kingdom
DEGESCH GMBH,LAUDENBACH,DE,2020,U1,n.v.,DR. WERNER FREYBERG CHEMISCHE FABRIK DELITIA NACHF. GMBH & CO. KG,DR.-WERNER-FREYBERG-STR. 11,69514,Rhein-Neckar,Deutschland,49.61099,8.635135,Germany
DINOX HANDELS GMBH,SOEST,DE,4675,U1,6,AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,BRÜDERTOR,59494,Soest,Deutschland,51.5767013,8.102519672074472,Germany
DOLLYMANS STORAGE LIMITED,LONDON,GB,3511,U1,n.v.,SUN LIFE FINANCIAL INC.,4TH FLOOR 80 VICTORIA STREET,SW1E 5JL,London SW1E,Vereinigtes Königreich,51.4971667,-0.1396282,United Kingdom
DOLPHIN N2 LIMITED,BASILDON,GB,7112,U1,8,IVECO GROUP NV,"COMMUNICATIONS ROOM, CRANES FARM ROAD",SS14 3AD,Basildon,Vereinigtes Königreich,51.5872112,0.4986403,United Kingdom
DOMNICK HUNTER GROUP LIMITED,HEMEL HEMPSTEAD,GB,7010,U1,n.v.,PARKER HANNIFIN CORP,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK",HP2 4TZ,Hemel Hempstead,Vereinigtes Königreich,51.75954515,-0.440162097136261,United Kingdom
DOMNICK HUNTER LIMITED,HEMEL HEMPSTEAD,GB,,U1,n.v.,PARKER HANNIFIN CORP,"2ND FLOOR, SUITE 2A, BREAKSPEAR PARK",HP2 4TZ,Hemel Hempstead,Vereinigtes Königreich,51.75954515,-0.440162097136261,United Kingdom
DVGW DEUTSCHER VEREIN DES GAS- UND WASSERFACHES E.V. - TECHNISCH-WISSENSCHAFTLICHER VEREIN,BONN,DE,9411,LF,800,DVGW DEUTSCHER VEREIN DES GAS- UND WASSERFACHES E.V. - TECHNISCH-WISSENSCHAFTLICHER VEREIN,JOSEF-WIRMER-STR. 1-3,53123,Bonn,Deutschland,50.7042394,7.0571932,Germany
EI-H2 LIMITED,CORK,IE,9609,U1,6,PEARSE FLYNN,"PENROSE 1, PENROSE DOCK",T23 KW81,Cork,Irland,-34.51614,150.778594,Ireland
ELCOGEN AS,TALLINN,EE,2720,U1,n.v.,ELCOGEN GROUP PLC,VALUKOJA TN 23,11415,Harju,Estland,59.421272,24.813078,Estonia
ELEMENT 2 LIMITED,SKIPTON,GB,4671,U1,10,ELEMENT 2 LIMITED,"UNIT 3, ACORN BUSINESS PARK, AIREDALE BUSINESS CENTRE",BD23 2UE,Skipton,Vereinigtes Königreich,53.958125,-2.0175294463802294,United Kingdom
EMERALD TECHNOLOGY VENTURES AG,ZÜRICH,CH,6630,LF,15,EMERALD TECHNOLOGY VENTURES AG,BELLERIVESTRASSE 241,8008,Zürich,Schweiz,47.351226,8.560363,Switzerland
ENAPTER IMMOBILIEN GMBH,SAERBECK,DE,6820,U1,2,JAN-JUSTUS SCHMIDT,HAHNSTR. 5,48369,Berlin,Deutschland,52.1809455,7.6485581,Germany
ENERGIEPARK GREUN GMBH & CO. KG,UPLENGEN,DE,3521,LF,2,MR WOLFGANG BECKER,HOLLENER LANDSTR. 18,26670,Leer,Deutschland,53.2535807,7.705228414190689,Germany
ENERTRAG HYPHEN HOLDING GMBH,SCHENKENBERG,DE,6420,U1,n.v.,MR MUELLER JUERGEN,DAUERTHAL,17291,Uckermark,Deutschland,,,Germany
ENVIRONMENTAL BIOTECH LIMITED,RUGBY,GB,8299,LF,n.v.,FRANCHISE BRANDS PLC,THE LOCKS HILLMORTON,CV21 4PP,Rugby,Vereinigtes Königreich,,,United Kingdom
ETABLISSEMENTS BEAUSEIGNEUR,FROIDEFONTAINE,FR,4675,NRF,42,FAMILLE SAUGIER,6 RUE ANDRE VIEILLARD,90140,Territoire de Belfort,Frankreich,47.560839,6.94122,France
EUGEN SEITZ AG,WETZIKON ZH,CH,2814,LF,160,MR FABIAN URS SEITZ,SPITALSTRASSE 204,8623,Zürich,Schweiz,47.32946,8.814597,Switzerland
EVERFUEL GMBH,KÖLN,DE,4730,U1,1,MR JACOB BECH KROGSGAARD,EUPENER STR. 165 RAUM1.03,50933,Köln,Deutschland,50.94647,6.889589,Germany
EW EICHSFELDGAS GMBH,LEINEFELDE-WORBIS,DE,3500,U1,39,LANDKREIS EICHSFELD,HAUSENER WEG 32,37339,Eichsfeld,Deutschland,51.413525,10.365485,Germany
EXXONMOBIL EXPLORATION AND PRODUCTION (INDONESIA) B.V.,BOTLEK ROTTERDAM,NL,2014,U1,n.v.,MOBIL EXPLORATION AND PRODUCING NORT AMERICA INC,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands
EXXONMOBIL GUYANA REGION B.V.,BOTLEK ROTTERDAM,NL,2011,U1,n.v.,EXXON INVESTMENTS INC,BOTLEKWEG 121 HAVENNUMMER,3197 KA,Rotterdam,Niederlande,51.870317,4.300543,Netherlands
ЦЕНТРАЛЬНЫЙ ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ АВТОМОБИЛЬНЫЙ И АВТОМОТОРНЫЙ ИНСТИТУТ НАМИ,МОСКВА,RU,7219,LF,n.v.,"MINISTERSTVO PROMYSHLENNOSTI, NAUKI I TEKHNOLOGII ROSSIISKOI FEDERATSII -",УЛ. АВТОМОТОРНАЯ Д.2,125438,г.Москва,Russische Föderation,55.84630225,37.5419045345028,Russia
FLEX FUEL ENERGY DEVELOPMENT,VALBONNE,FR,7219,U1,47,FFED HLDG,"SUNDESK SOPHIA ANTIPOLIS, 930 ROUTE DES DOLINES",06560,Alpes-Maritimes,Frankreich,43.6241282,7.038190451229687,France
FORTUM GLASGOW LIMITED,READING,GB,3511,U1,n.v.,SOUTH CLYDE ENERGY RECOVERY HOLDINGS LIMITED,"4TH FLOOR PHOENIX HOUSE, 1 STATION HILL",RG1 1NB,Reading,Vereinigtes Königreich,51.4588846,-0.9747818,United Kingdom
FP LUX SOLAR GMBH & CO. KREMPENDORF KG,MARIENFLIEß OT JÄNNERSDORF,DE,2711,U1,n.v.,FP MANAGEMENT HOLDING GMBH,JÄNNERSDORFER RING,16945,Harburg,Deutschland,53.2540819,12.159635291282394,Germany
FRIEDRICH G. FROMMANN (GMBH & CO.KG),SEEVETAL,DE,4671,U1,4,,WINSENER LANDSTR. 121,21217,Harburg,Deutschland,53.4020573,10.0053015,Germany
FRUIT SECURITY GMBH,ST. RUPRECHT AN DER RAAB,AT,4690,U1,35,,BUNDESSTRAßE 278,8181,Steiermark,Österreich,47.151564,15.672567,Austria
FUKUZAWA MAKINA IÇ VE DIS TICARET LIMITED SIRKETI,BAKIRKOY,TR,4299,LF,n.v.,,"BUSINESS PARK B2 BLOK, ATATÜRK BLOK N.12, YESILKÖY MAHALLESI",34149,Istanbul,Türkei,40.96455,28.816819,Turkey
FUSION FUEL GREEN PUBLIC LIMITED COMPANY,DUBLIN,IE,2011,C1,111,FUSION FUEL GREEN PUBLIC LIMITED COMPANY,"THE VICTORIANS, 15-18 EARLSFORT TERRACE, SAINT KEVIN'S",D02 YX28,Dublin,Irland,,,Ireland
GECHEM GMBH & CO KG,KLEINKARLBACH,DE,4675,U1,291,MRS MARTINA MARGOT NIGHSWONGER,HAUPTSTR. 4,67271,Bad Dürkheim,Deutschland,49.54015125,8.144759008629645,Germany
GEORG PFORR - GEFO - VERWALTUNGS-GMBH,DÜSSELDORF,DE,7010,NRLF,1,MR LOTHAR REICHELT,HOFFELDSTR. 104,40235,Düsseldorf,Deutschland,51.2265413,6.8167942,Germany
GESELLSCHAFT FÜR WOLFRAM- INDUSTRIE MIT BESCHRÄNKTER HAFTUNG,NUßDORF,DE,2445,U1,74,FREIFRAU MARION ARIANNE VON CETTO,WOLFRAMSTRAßE,83365,Traunstein,Deutschland,47.897729,12.61968,Germany
GLOBAL ENERGY INTERCONNECTION RESEARCH INSTITUTE EUROPE GMBH,BERLIN,DE,6820,U1,27,STATE GRID SMART GRID RESEACH INSTITUTE,KANTSTR. 162,10623,Berlin,Deutschland,52.5050831,13.3323631,Germany
GLOBAL ENERGY TECHNOLOGY LTD,SURBITON,GB,7219,U1,n.v.,MR DENANTES BRUNO EDOUARD MARIE,37 CRANES PARK AVENUE,KT5 8BS,Surbiton,Vereinigtes Königreich,,,United Kingdom
GM BIOGAS GMBH & CO. KG,BAASDORF,DE,3511,U1,5,GUT MENNEWITZ GMBH,FELDSTR. 5,06388,Anhalt-Bitterfeld,Deutschland,51.7091997,11.9816235,Germany
GP JOULE GMBH,REUßENKÖGE,DE,7010,U1,94,GP JOULE HOLDING GMBH & CO. KG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
GP JOULE UTILITY GMBH,REUßENKÖGE,DE,6420,U1,4,GP JOULE HOLDING GMBH & CO. KG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany
GREEN H2 DEVELOPMENTS PROJECT CO LTD,READING,GB,8299,U1,n.v.,GREEN H2 DEVELOPMENTS HOLD CO LTD,NO.1 FORBURY PLACE FORBURY ROAD,RG1 3JH,Reading,Vereinigtes Königreich,51.457802,-0.966423,United Kingdom
