Name des Unternehmens,Ort,Länderkürzel,NACE code,"Kons.
Code","Anzahl der Mitarbeiter
Letztes verf. Jahr",Globale KM - Name,Adresse,Postleitzahl,Region,Land,Latitude,Longitude,Country,Full Address
ELEKTROLYSE MITTELDEUTSCHLAND GMBH,DÜSSELDORF,DE,3511,LF,5,BUNDESREPUBLIK DEUTSCHLAND,HOLZSTR. 6,40221,Düsseldorf,Deutschland,51.2129363,6.747918,Germany,"HOLZSTR. 6, 40221, Düsseldorf, Deutschland"
ELEKTROTECHNIK SCHEINGRABER GMBH,WINZER,DE,4321,LF,1,DOMINIK SCHEINGRABER,XAVER-BAUER-STR. 10,94577,Bayern,Deutschland,48.72277215,13.07800024887677,Germany,"XAVER-BAUER-STR. 10, 94577, Bayern, Deutschland"
ELOGEN GMBH,KÖLN,DE,2899,NRLF,2,GAZTRANSPORT ET TECHNIGAZ,EUPENER STR. 165,50933,Köln,Deutschland,50.9463254,6.8896065,Germany,"EUPENER STR. 165, 50933, Köln, Deutschland"
EMB KONSTRUKTION GMBH,APEN,DE,2511,LF,3,MR BORIS CZESNIK,SÜDGEORGSFEHNER STR.,26689,Ammerland,Deutschland,53.221519,7.754775,Germany,"SÜDGEORGSFEHNER STR., 26689, Ammerland, Deutschland"
ENBW INTERNATIONAL MARKETS GMBH,KARLSRUHE,DE,8299,NRLF,1,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,DURLACHER ALLEE 93,76131,Karlsruhe,Deutschland,49.0056459,8.4368911,Germany,"DURLACHER ALLEE 93, 76131, Karlsruhe, Deutschland"
ENBW NEUE ENERGIEN GMBH,STUTTGART,DE,6420,U1,1,ENBW ENERGIE BADEN-WÜRTTEMBERG AG,SCHELMENWASENSTR. 15,70567,Stuttgart,Deutschland,48.7124085,9.1674939,Germany,"SCHELMENWASENSTR. 15, 70567, Stuttgart, Deutschland"
ENERCOLL AG,GRÜNWALD,DE,7112,LF,1,,PORTENLÄNGERSTR.,82031,"München, Landkreis",Deutschland,48.04517885,11.53513315,Germany,"PORTENLÄNGERSTR., 82031, München, Landkreis, Deutschland"
ENERGIEPARK EMDEN GMBH & CO. KG,EMDEN,DE,3511,LF,5,ENERGIEPARK EMDEN GMBH & CO. KG,NESSERLANDER STR. 5,26721,Emden,Deutschland,53.362155,7.2034007,Germany,"NESSERLANDER STR. 5, 26721, Emden, Deutschland"
ENERGIEPARK FLUMM GMBH & CO. KG,GROßEFEHN,DE,3511,LF,2,,POSTWEG 6,26629,Aurich,Deutschland,53.37290495,7.616251292249792,Germany,"POSTWEG 6, 26629, Aurich, Deutschland"
ENERGIEPARK LAUSITZ UMSPANNWERK GMBH & CO. KG,REUßENKÖGE,DE,2711,LF,4,,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany,"CECILIENKOOG 16, 25821, Nordfriesland, Deutschland"
ENERGIEPARK LAUSITZ WASSERSTOFF GMBH & CO. KG,REUßENKÖGE,DE,3511,LF,4,,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany,"CECILIENKOOG 16, 25821, Nordfriesland, Deutschland"
ENERGY CASTLE GMBH,THALWIL,CH,7490,LF,1,,ALTE LANDSTRASSE 195,8800,Zürich,Schweiz,47.30034,8.557812,Switzerland,"ALTE LANDSTRASSE 195, 8800, Zürich, Schweiz"
ENERGY EFFICIENT GREEN TECHNOLOGIES (EEGT) GMBH,FROHBURG,DE,5210,LF,1,MR RAVIL VALIEV,FRIEDENSSTR. 17,04654,Leipziger Land,Deutschland,51.016596,12.602413,Germany,"FRIEDENSSTR. 17, 04654, Leipziger Land, Deutschland"
ENERGY EXCHANGE SOLUTIONS GMBH,ROTH,DE,7022,LF,2,ENERGY EXCHANGE SOLUTIONS TOV,GARTENSTR. 15,91154,Roth,Deutschland,49.24536115,11.09607123475313,Germany,"GARTENSTR. 15, 91154, Roth, Deutschland"
ENERGY ONE SOLAR 8 GMBH & CO. KG,DRESDEN,DE,3511,U1,n.v.,MR JOERG KUNTZSCH,MORITZBURGER WEG 67,01109,Dresden,Deutschland,51.1078899,13.759847,Germany,"MORITZBURGER WEG 67, 01109, Dresden, Deutschland"
ENERGY TRANSFORMATION GMBH,HURDEN,CH,3511,LF,4,MR CLAUS-DIETER FLORE,SEEFELDWEG 9,8640,Schwyz,Schweiz,47.208259,8.795422,Switzerland,"SEEFELDWEG 9, 8640, Schwyz, Schweiz"
ENER-NET ENERGIESYSTEME GMBH,ALTENSTADT,DE,3511,LF,1,MR HERBERT HANDKE,FABRIKSTR. 7,89281,Kempten im Allgäu,Deutschland,48.158854,10.106327,Germany,"FABRIKSTR. 7, 89281, Kempten im Allgäu, Deutschland"
ENERTRAG ENERGIEWERK BARNIM GMBH & CO. KG,SCHENKENBERG,DE,3511,LF,3,MR MUELLER JUERGEN,DAUERTHAL 3,17291,Uckermark,Deutschland,53.3644756,13.969187150782016,Germany,"DAUERTHAL 3, 17291, Uckermark, Deutschland"
ENERTRAG WASSERSTOFF VERWALTUNGSGESELLSCHAFT MBH,SCHENKENBERG,DE,7010,LF,4,MR MUELLER JUERGEN,DAUERTHAL 3,17291,Uckermark,Deutschland,53.3644756,13.969187150782016,Germany,"DAUERTHAL 3, 17291, Uckermark, Deutschland"
ENNOBLE POWER UG (HAFTUNGSBESCHRÄNKT),MAINZ,DE,3511,U1,n.v.,,HINTER DEN WIESEN 18,55127,Mainz,Deutschland,49.9620356,8.225741266044775,Germany,"HINTER DEN WIESEN 18, 55127, Mainz, Deutschland"
ENREGO ENERGY GMBH,WESTERSTEDE,DE,6420,LF,2,,PETERSTR. 20 A,26655,Ammerland,Deutschland,53.2553948,7.927904,Germany,"PETERSTR. 20 A, 26655, Ammerland, Deutschland"
ENROI RENEWABLE ENERGY CONSULTING UG (HAFTUNGSBESCHRÄNKT),BERLIN,DE,7112,NRLF,1,,NEUFÄHRER STEIG,13503,Frankfurt (Oder),Deutschland,52.617562,13.224396,Germany,"NEUFÄHRER STEIG, 13503, Frankfurt (Oder), Deutschland"
ENTEC HYDROGEN GMBH,CUXHAVEN,DE,4329,LF,1,MR JOCHEN KAUFHOLT,HELGOLÄNDER KAI,27472,Cuxhaven,Deutschland,53.86880865,8.709189511328123,Germany,"HELGOLÄNDER KAI, 27472, Cuxhaven, Deutschland"
ENTWICKLUNGSGESELLSCHAFT DER SAMTGEMEINDE GELLERSEN MBH,REPPENSTEDT,DE,6820,LF,1,SAMTGEMEINDE GELLERSEN,DACHTMISSER STR. 1,21391,Lüneburg,Deutschland,53.2478422,10.3526609,Germany,"DACHTMISSER STR. 1, 21391, Lüneburg, Deutschland"
EPOS ONE (SCHWEIZ) GMBH,ROTKREUZ,CH,6201,LF,1,MR GIOVANNI ZANETTI,"C/O RETO BUECHEL TOP IMMOBILIEN, GRUNDSTRASSE 10",6343,Zug,Schweiz,47.145213,8.430708,Switzerland,"C/O RETO BUECHEL TOP IMMOBILIEN, GRUNDSTRASSE 10, 6343, Zug, Schweiz"
ERACRON GMBH,BERNAU,DE,2011,LF,1,,CHIEMSEESTR. 21,83233,"Rosenheim, Landkreis",Deutschland,,,Germany,"CHIEMSEESTR. 21, 83233, Rosenheim, Landkreis, Deutschland"
ERC ENGINEERING XPERTS GMBH,BUCHHOLZ,DE,7112,LF,2,ERC EMISSIONS-REDUZIERUNGS-CONCEPTE GMBH,BÄCKERSTR.,21244,Harburg,Deutschland,53.3535759,9.8687914,Germany,"BÄCKERSTR., 21244, Harburg, Deutschland"
ESWIFT SWISS GMBH,WETTINGEN,CH,4321,LF,1,,KONRADSTRASSE 4D,5430,Aargau,Schweiz,47.4696998,8.3212375,Switzerland,"KONRADSTRASSE 4D, 5430, Aargau, Schweiz"
ETERNAL POWER GMBH,HAMBURG,DE,2011,LF,5,ETERNAL POWER GMBH,HAYNSTR. 33,20249,"Hamburg, Freie und Hansestadt",Deutschland,53.5885007,9.9805379,Germany,"HAYNSTR. 33, 20249, Hamburg, Freie und Hansestadt, Deutschland"
EWE HYDROGEN GMBH,OLDENBURG,DE,7112,U1,2,EMS-WESER-ELBE VERSORGUNGS- UND ENTSORGUNGSVERBAND,RUMMELWEG 18,26122,Oldenburg,Deutschland,53.1402393,8.1953922,Germany,"RUMMELWEG 18, 26122, Oldenburg, Deutschland"
FAST SIMULATIONS UG (HAFTUNGSBESCHRÄNKT),KULMBACH,DE,7200,LF,1,MR DAVID HARVEY,LORENZ-SANDLER-STR. 13,95326,Kulmbach,Deutschland,50.11739745,11.446052258059604,Germany,"LORENZ-SANDLER-STR. 13, 95326, Kulmbach, Deutschland"
FEST GMBH,GOSLAR,DE,2712,U1,87,"Schmidt, Kranz & Co. Gesellschaft mit beschränkter Haftung",HARZBURGER STR. 14,38642,Goslar,Deutschland,51.899511450000006,10.490430184117011,Germany,"HARZBURGER STR. 14, 38642, Goslar, Deutschland"
FIP GREEN ENERGY GMBH,DAMME,DE,4614,LF,1,FIP BETEILIGUNGS GMBH & CO. KG,ROBERT-BOSCH-STR. 20,49401,Vechta,Deutschland,52.510271200000005,8.206276306457937,Germany,"ROBERT-BOSCH-STR. 20, 49401, Vechta, Deutschland"
FLORESTAN KA HYDROGEN GMBH,WIEN,AT,8290,U1,n.v.,FLORESTAN KA GMBH,TÜRKENSTRAßE 9,1090,Wien,Österreich,48.2171874,16.3616177,Austria,"TÜRKENSTRAßE 9, 1090, Wien, Österreich"
FÖRDER- UND ENTWICKLUNGSGESELLSCHAFT VORPOMMERN-GREIFSWALD MBH,PASEWALK,DE,8413,U1,6,LANDKREIS VORPOMMERN-GREIFSWALD,AM SCHLACHTHOF 6,17309,Vorpommern-Greifswald,Deutschland,53.5087296,14.0113771,Germany,"AM SCHLACHTHOF 6, 17309, Vorpommern-Greifswald, Deutschland"
FONDATION E-SANKT MORITZ,ST. MORITZ,CH,9499,LF,4,,VIA SOMPLAZ 1,7500,Graubünden,Schweiz,46.497095,9.8372329,Switzerland,"VIA SOMPLAZ 1, 7500, Graubünden, Schweiz"
FORESIGHT HYDROGEN HOLDCO GMBH,FRANKFURT,DE,6420,LF,2,FORESIGHT HYDROGEN HOLDCO GMBH,ESCHERSHEIMER LANDSTR. 14,60322,Frankfurt am Main,Deutschland,50.1196642,8.6783518,Germany,"ESCHERSHEIMER LANDSTR. 14, 60322, Frankfurt am Main, Deutschland"
FRIESEN ELEKTRA GREEN ENERGY AG,SANDE,DE,7010,LF,1,GRAF MAXIMILIAN VON WEDEL-GOEDENS,SCHLOß GÖDENS,26452,Friesland,Deutschland,53.48536465,7.963790895723662,Germany,"SCHLOß GÖDENS, 26452, Friesland, Deutschland"
FUTURE FUELS & CHEMICALS GMBH,SPREETAL,DE,5229,LF,1,FUTURE FUELS AG,STRAßE 10,02979,Bautzen,Deutschland,51.489375,14.454579,Germany,"STRAßE 10, 02979, Bautzen, Deutschland"
FUTURE FUELS AG,LUNGERN,CH,5229,LF,1,FUTURE FUELS AG,WICHELMATTE 5,6078,Obwalden,Schweiz,46.784189,8.144174,Switzerland,"WICHELMATTE 5, 6078, Obwalden, Schweiz"
FUTURE WORLD WATER AG,SCHINDELLEGI,CH,7219,LF,4,,EINSIEDLERSTRASSE 21,8834,Schwyz,Schweiz,47.169641,8.717856,Switzerland,"EINSIEDLERSTRASSE 21, 8834, Schwyz, Schweiz"
FUTURECAMP HOLDING GMBH,MÜNCHEN,DE,7022,U1,7,FUTURECAMP HOLDING GMBH,ASCHAUER STR. 30,81549,"München, Landeshauptstadt",Deutschland,48.1046585,11.6003208,Germany,"ASCHAUER STR. 30, 81549, München, Landeshauptstadt, Deutschland"
G4W-HOLDING GMBH,DRESDEN,DE,7112,LF,31,MR RICHTER THOMAS,KÖNIGSBRÜCKER STR.,01099,Dresden,Deutschland,51.102071,13.77609,Germany,"KÖNIGSBRÜCKER STR., 01099, Dresden, Deutschland"
GAIA ENERGY GMBH,HAMBURG,DE,7211,LF,2,C02 D.O.O.,LOTTBEKKOPPELN 19,22395,"Hamburg, Freie und Hansestadt",Deutschland,53.68501975,10.131020479323723,Germany,"LOTTBEKKOPPELN 19, 22395, Hamburg, Freie und Hansestadt, Deutschland"
GAS LINK LUBMIN GMBH,ESSEN,DE,3522,LF,3,RWE AKTIENGESELLSCHAFT,RWE PLATZ 6,45141,Essen,Deutschland,51.4656674,7.0129498,Germany,"RWE PLATZ 6, 45141, Essen, Deutschland"
GEG INTEGRATED SOLUTIONS GMBH,BERLIN,DE,3511,LF,2,MR JOSEF BARR,SCHLÜTERSTR.,10629,Berlin,Deutschland,52.50254,13.316714,Germany,"SCHLÜTERSTR., 10629, Berlin, Deutschland"
GELBE UG (HAFTUNGSBESCHRÄNKT),ECKENTAL,DE,8220,LF,1,MR DIETMAR GELBE,SANDSTR. 8,90542,Erlangen-Höchstadt,Deutschland,49.589608,11.2184189,Germany,"SANDSTR. 8, 90542, Erlangen-Höchstadt, Deutschland"
GEMEINDEWERKE BIRKENFELD,BIRKENFELD,DE,3600,LF,1,,MARKTPLATZ 6,75217,Enzkreis,Deutschland,48.8694567,8.636032657959401,Germany,"MARKTPLATZ 6, 75217, Enzkreis, Deutschland"
GEOSOLERGY UG (HAFTUNGSBESCHRÄNKT),MEDEBACH,DE,8299,LF,1,MR CHRISTOPH ORTWIG,AM WEDDEL 18,59964,Hochsauerlandkreis,Deutschland,51.2070439,8.7033525,Germany,"AM WEDDEL 18, 59964, Hochsauerlandkreis, Deutschland"
GERMAN LNG TERMINAL GMBH,BRUNSBÜTTEL,DE,9609,LF,9,,ELBEHAFEN,25541,Dithmarschen,Deutschland,53.8902473,9.1717802,Germany,"ELBEHAFEN, 25541, Dithmarschen, Deutschland"
GETEC GREEN H2 ZERBST GMBH,ZERBST,DE,2011,LF,1,GETEC ENERGIE HOLDING GMBH,DESSAUER STR. 76,39261,Anhalt-Bitterfeld,Deutschland,51.9602612,12.0922616,Germany,"DESSAUER STR. 76, 39261, Anhalt-Bitterfeld, Deutschland"
GF HYDROGEN EUROPE GMBH,FRANKFURT,DE,4719,LF,1,SHANGHAI GUOFU HYDROGEN ENERGY EQUIPMENT YOUXIAN GONGSI,BRÜSSELER STR.,60327,Frankfurt am Main,Deutschland,50.110049,8.653031,Germany,"BRÜSSELER STR., 60327, Frankfurt am Main, Deutschland"
GH2 GREEN HYDROGEN GMBH,HÜNSTETTEN,DE,7211,LF,1,MR GERD SCHOENHARTING,RABENWEG 16,65510,Rheingau-Taunus,Deutschland,50.2641375,8.229561195345156,Germany,"RABENWEG 16, 65510, Rheingau-Taunus, Deutschland"
GKN HYDROGEN GMBH,BONN,DE,7490,LF,4,MELROSE INDUSTRIES PLC,PENNEFELDSWEG 11- 15,53177,Bonn,Deutschland,50.67028,7.174196,Germany,"PENNEFELDSWEG 11- 15, 53177, Bonn, Deutschland"
GLOBAL TRANSACTION CENTER GMBH,MONTABAUR,DE,4719,LF,1,DONGFU KAHRS,VORDERER REBSTOCK 8,56410,Westerwaldkreis,Deutschland,50.4374915,7.8304867012102,Germany,"VORDERER REBSTOCK 8, 56410, Westerwaldkreis, Deutschland"
GP JOULE HYDROGEN HOLDING GMBH & CO. KG,REUßENKÖGE,DE,2790,U1,2,GP JOULE HOLDING GMBH & CO. KG,CECILIENKOOG 16,25821,Nordfriesland,Deutschland,54.585727,8.9227787,Germany,"CECILIENKOOG 16, 25821, Nordfriesland, Deutschland"
GP WIND GMBH,HANNOVER,DE,3511,LF,1,,ANDERTER STR. 99 D,30559,Hannover,Deutschland,52.3746889,9.8674688,Germany,"ANDERTER STR. 99 D, 30559, Hannover, Deutschland"
GPECOENERGY AG,ZUG,CH,2790,LF,4,,BAARERSTRASSE 19,6300,Zug,Schweiz,47.1722651,8.5161479,Switzerland,"BAARERSTRASSE 19, 6300, Zug, Schweiz"
GRAFORCE HYDROCARB GMBH,BERLIN,DE,2011,U1,n.v.,GRAFORCE GMBH,JOHANN-HITTORF-STR. 8,12489,Berlin,Deutschland,52.4313258,13.523673,Germany,"JOHANN-HITTORF-STR. 8, 12489, Berlin, Deutschland"
GREEN ENERGY FOR YOU ERWS GMBH,BAD GRIESBACH,DE,2711,LF,1,MRS CLAUDIA SUMMERER,DORFSTR. 9,94086,"Passau, Landkreis",Deutschland,,,Germany,"DORFSTR. 9, 94086, Passau, Landkreis, Deutschland"
GREEN ENERGY ORIGIN GERMANY GMBH C/O EVERSHEDS SUTHERLAND (GERMANY) RECHTSANWÄLTE STEUERBERATER SOLICITORS PARTG MBB,FRANKFURT,DE,9609,LF,1,,MAINZER LANDSTR. 18,60325,Frankfurt am Main,Deutschland,50.11212,8.666521,Germany,"MAINZER LANDSTR. 18, 60325, Frankfurt am Main, Deutschland"
GREEN H2 GMBH,ASCHHEIM,DE,7022,LF,2,MR FRANZ HAUK,EINSTEINRING 43,85609,"München, Landkreis",Deutschland,48.146874,11.686041,Germany,"EINSTEINRING 43, 85609, München, Landkreis, Deutschland"
GREEN H2 GMBH & COKG,SIERNING,AT,8299,U1,n.v.,MR REINHOLD BAUMSCHLAGER,NEUSTRAßE 29,4522,Oberösterreich,Österreich,48.04093035,14.30564691681484,Austria,"NEUSTRAßE 29, 4522, Oberösterreich, Österreich"
GREEN HYDROGEN ESSLINGEN GMBH,ESSLINGEN,DE,3512,LF,1,MR FLORIAN HENLE,ABT-FULRAD-STR. 3- 5,73728,"München, Landeshauptstadt",Deutschland,48.7422029,9.305202012328078,Germany,"ABT-FULRAD-STR. 3- 5, 73728, München, Landeshauptstadt, Deutschland"
GREEN HYDROGEN GROUP AG,FELDBACH,CH,7219,LF,1,,ALTE LANDSTRASSE 3,8714,Zürich,Schweiz,47.23777,8.781766,Switzerland,"ALTE LANDSTRASSE 3, 8714, Zürich, Schweiz"
GREEN HYDROGEN TECHNOLOGY GMBH,AUGSBURG,DE,2825,LF,14,MR HARALD MAYER,KOBLENZER STR. 2,86156,Unterallgäu,Deutschland,48.4091506,10.8595019,Germany,"KOBLENZER STR. 2, 86156, Unterallgäu, Deutschland"
GREEN SOLUTIONS RÜGEN GMBH,GINGST,DE,3512,LF,4,ZU INNHAUSEN UND KNYPHAUSEN ALVO GRAF,KLUISER DREIECK 1,18569,Vorpommern-Rügen,Deutschland,54.4664717,13.29402099470536,Germany,"KLUISER DREIECK 1, 18569, Vorpommern-Rügen, Deutschland"
GREEN VENTURE INVEST AG,SCHMERIKON,CH,7219,LF,4,,ROSENGARTENSTRASSE 22,8716,St. Gallen,Schweiz,47.22867,8.957541,Switzerland,"ROSENGARTENSTRASSE 22, 8716, St. Gallen, Schweiz"
GREEN2ENERGY AG,JONA,CH,3832,LF,4,,ENGELHÖLZLISTRASSE 21,8645,St. Gallen,Schweiz,47.24858,8.832306,Switzerland,"ENGELHÖLZLISTRASSE 21, 8645, St. Gallen, Schweiz"
GREENAGE AG,DREIEICH,DE,6619,U1,2,CHES IT SERVICE GMBH,HEINRICH-HERTZ-STR. 3,63303,"Offenbach, Landkreis",Deutschland,50.008437,8.690769,Germany,"HEINRICH-HERTZ-STR. 3, 63303, Offenbach, Landkreis, Deutschland"
GREENH2 AG,BIRSFELDEN,CH,7112,LF,35,KANTON BASEL-STADT,"C/O KRAFTWERK BIRSFELDEN AG, HOFSTRASSE 82",4127,Basel-Country,Schweiz,47.559342,7.626854,Switzerland,"C/O KRAFTWERK BIRSFELDEN AG, HOFSTRASSE 82, 4127, Basel-Country, Schweiz"
GREENPOWER EUROPE AG,BAYREUTH,DE,2611,LF,1,GREENPOWER EUROPE AG,NIBELUNGENSTR. 32,95444,Bayreuth,Deutschland,49.9542257,11.577963675182882,Germany,"NIBELUNGENSTR. 32, 95444, Bayreuth, Deutschland"
GROUPE CURIE AG,WINTERTHUR,CH,7112,LF,1,MR ANTOINE PARRELLA,PFLANZSCHULSTRASSE 3,8400,Zürich,Schweiz,47.4943149,8.7407208,Switzerland,"PFLANZSCHULSTRASSE 3, 8400, Zürich, Schweiz"
GRÜNHAUS IMMOBILIENVERWALTUNG & DIENSTLEISTUNGS GMBH,CHEMNITZ,DE,8110,U1,n.v.,,SAYDAER STR. 21,09125,"Chemnitz, Stadt",Deutschland,50.7983438,12.9374876,Germany,"SAYDAER STR. 21, 09125, Chemnitz, Stadt, Deutschland"
GSH2 - VERWALTUNGS - UND BETEILIGUNGSGESELLSCHAFT MBH GRAFSCHAFT BENTHEIM,NORDHORN,DE,7010,LF,1,,OTTO-HAHN-STR. 1,48529,"Bentheim, Grafschaft",Deutschland,52.408257,7.085229,Germany,"OTTO-HAHN-STR. 1, 48529, Bentheim, Grafschaft, Deutschland"
GUTTROFF GASE & INDUSTRIEBEDARF GMBH,PÖßNECK,DE,3521,U1,21,MR GEORG GUTTROFF,NAßÄCKERSTR.,07381,Saale-Orla,Deutschland,50.69656,11.619237,Germany,"NAßÄCKERSTR., 07381, Saale-Orla, Deutschland"
H NEXT ENGINEERED MOBILITY GMBH,SCHWANAU,DE,3099,LF,5,MR MARTIN HERRENKNECHT,SCHLEHENWEG 2,77963,Ortenaukreis,Deutschland,48.3592742,7.7751496,Germany,"SCHLEHENWEG 2, 77963, Ortenaukreis, Deutschland"
H.I.A.T. GGMBH,SCHWERIN,DE,7219,U1,9,MR TINO FREIHEIT,HAGENOWER STR. 73,19061,Schwerin,Deutschland,53.6010948,11.4182505,Germany,"HAGENOWER STR. 73, 19061, Schwerin, Deutschland"
H2 CORE SERVICES GMBH,HEIDE,DE,7112,U1,3,MR ULF JOERGENSEN,RÜSDORFER STR.,25746,Dithmarschen,Deutschland,54.1910187,9.1076273,Germany,"RÜSDORFER STR., 25746, Dithmarschen, Deutschland"
H2 CORE SYSTEMS GMBH,HEIDE,DE,2899,U1,n.v.,MR WILHELM ZOURS,RÜSDORFER STR.,25746,Dithmarschen,Deutschland,54.1910187,9.1076273,Germany,"RÜSDORFER STR., 25746, Dithmarschen, Deutschland"
H2 DELIVERY TRUCK POOL GMBH & CO. KG,MAGDEBURG,DE,2011,LF,1,MR LUDGER HELLENTHAL,GLINDENBERGER WEG 5,39126,Magdeburg,Deutschland,52.2068365,11.6765757,Germany,"GLINDENBERGER WEG 5, 39126, Magdeburg, Deutschland"
H2 ENERGY URI AG,SILENEN,CH,2720,LF,4,,"C/O R+R IMMOBILIEN AG, EFIBACH 38",6473,Uri,Schweiz,46.798568,8.669392,Switzerland,"C/O R+R IMMOBILIEN AG, EFIBACH 38, 6473, Uri, Schweiz"
H2 GO GMBH,HAMBURG,DE,2011,NRLF,1,MR MARCO SCHMIDT,AM KAISERKAI 69,20457,"Hamburg, Freie und Hansestadt",Deutschland,53.540821,9.9859471,Germany,"AM KAISERKAI 69, 20457, Hamburg, Freie und Hansestadt, Deutschland"
H2 GREEN POWER & LOGISTICS GMBH,MÜNSTER,DE,5229,LF,2,MR LUDGER HELLENTHAL,ROXELER STR. 394 A,48161,Münster,Deutschland,51.956115,7.573622,Germany,"ROXELER STR. 394 A, 48161, Münster, Deutschland"
H2 GREEN POWER KG,LANGEN,DE,4221,LF,1,,GOETHESTR. 66,63225,"Offenbach, Landkreis",Deutschland,49.9853239,8.661152792334741,Germany,"GOETHESTR. 66, 63225, Offenbach, Landkreis, Deutschland"
H2 GWI DACHWIG GMBH & CO. KG,GROß PANKOW,DE,2011,LF,1,GREEN WIND INVEST GMBH,STEINDAMM 21,16928,Prignitz,Deutschland,53.1191077,12.051391386914702,Germany,"STEINDAMM 21, 16928, Prignitz, Deutschland"
H2 MOBILITY DEUTSCHLAND GMBH & CO. KG,BERLIN,DE,4730,U1,50,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",EUREF-CAMPUS 10-11,10829,Berlin,Deutschland,52.4824069,13.3567793,Germany,"EUREF-CAMPUS 10-11, 10829, Berlin, Deutschland"
H2 MOBILITY DEUTSCHLAND VERWALTUNGS GMBH,BERLIN,DE,7010,LF,3,"L'AIR LIQUIDE, SOCIÉTÉ ANONYME POUR L'ÉTUDE ET L'EXPLOITATION DES PROCÉDÉS GEORGES CLAUDE",EUREF-CAMPUS 10-11,10829,Berlin,Deutschland,52.4824069,13.3567793,Germany,"EUREF-CAMPUS 10-11, 10829, Berlin, Deutschland"
H2 NOW GMBH,BERLIN,DE,2011,LF,2,,KURFÜRSTENDAMM,10719,Berlin,Deutschland,52.503616,13.32865,Germany,"KURFÜRSTENDAMM, 10719, Berlin, Deutschland"
H2 PROJEKTENTWICKLUNGSGESELLSCHAFT MBH,RHEINBERG,DE,7211,LF,2,,ORSOYER STR. 8,47495,Wesel,Deutschland,51.54487515,6.603464410387545,Germany,"ORSOYER STR. 8, 47495, Wesel, Deutschland"
H2 SOLAR - WASSERSTOFFTECHNOLOGIE GMBH,BERLIN,DE,2790,U1,2,,BISMARCKSTR. 10,14109,Berlin,Deutschland,52.418178,13.170547,Germany,"BISMARCKSTR. 10, 14109, Berlin, Deutschland"
H2 SÜD E.V.,MÜNCHEN,DE,9499,LF,1,,KAFLERSTR. 4,81241,"München, Landeshauptstadt",Deutschland,48.1495691,11.460309,Germany,"KAFLERSTR. 4, 81241, München, Landeshauptstadt, Deutschland"
H2 WIND FLUMM GMBH & CO. KG,GROßEFEHN,DE,3511,LF,2,,POSTWEG 6,26629,Aurich,Deutschland,53.37290495,7.616251292249792,Germany,"POSTWEG 6, 26629, Aurich, Deutschland"
H2CLOUD GMBH,OLDENBURG,DE,6201,U1,n.v.,MR PETER RUEGGE,HEILIGENGEISTHÖFE,26121,Oldenburg,Deutschland,53.1446805,8.2119744,Germany,"HEILIGENGEISTHÖFE, 26121, Oldenburg, Deutschland"
H2ENERGY SOLUTIONS GMBH,BRÜHL,DE,3511,LF,1,H2ENERGY SOLUTIONS HOLDING GMBH,BAVINGANSTR. 12,50321,Rhein-Erft-Kreis,Deutschland,50.80742815,6.896774799999999,Germany,"BAVINGANSTR. 12, 50321, Rhein-Erft-Kreis, Deutschland"
H2-GREENFORCE DEUTSCHLAND GMBH,FRANKFURT,DE,3511,LF,2,H2-GREENFORCE LLC,TILSITER STR. 1,60487,Frankfurt am Main,Deutschland,50.1293342,8.627914,Germany,"TILSITER STR. 1, 60487, Frankfurt am Main, Deutschland"
H2-GREENFORCE NEUENKIRCHEN GMBH,NEUENKIRCHEN,DE,3511,LF,2,H2-GREENFORCE LLC,ROTE ERDE 7,48485,Steinfurt,Deutschland,52.2051884,7.4179694,Germany,"ROTE ERDE 7, 48485, Steinfurt, Deutschland"
H2-HUB SCHWEIZ,BASEL,CH,9499,LF,4,,"C/O HANDELSKAMMER BEIDER BASEL, ST. JAKOBS-STRASSE 25",4052,Basel-City,Schweiz,47.5499551,7.5968023,Switzerland,"C/O HANDELSKAMMER BEIDER BASEL, ST. JAKOBS-STRASSE 25, 4052, Basel-City, Schweiz"
H2PERFORM GMBH,GRÖMITZ,DE,7022,LF,1,MR JULIUS BASLER-MEIER,HOF KÖRNICK,23743,Ostholstein,Deutschland,54.14577375,10.929221798557688,Germany,"HOF KÖRNICK, 23743, Ostholstein, Deutschland"
H2PLAS GMBH,BERLIN,DE,2011,LF,2,MR THOMAS RYLL,MARKOMANNENSTR. 73,12524,Berlin,Deutschland,52.410723,13.546849,Germany,"MARKOMANNENSTR. 73, 12524, Berlin, Deutschland"
H2-PROGRESS UG (HAFTUNGSBESCHRÄNKT),REKEN,DE,8299,LF,1,MR GERD BUSSMANN,INDUSTRIESTR. 5 A,48734,Borken,Deutschland,51.807758,7.049015,Germany,"INDUSTRIESTR. 5 A, 48734, Borken, Deutschland"
H2RANGE GMBH,AACHEN,DE,7200,U1,1,,BOHR 12,52072,Städteregion Aachen,Deutschland,50.8282901,6.0238519,Germany,"BOHR 12, 52072, Städteregion Aachen, Deutschland"
